,"""id","""""client_id""""","""""mailing_date""""","""""subject""""","""""delivered""""","""""opened"""""
0,"""190961","""""3563""""","""""2015-04-22 00:00:00""""","""""Clearance Alert: From $6.99 Museum International Gold Medal Winning Red Wine Sale"","" Starts Now. Huge Savings Be Quick!""""","""""2838""""","""""805"""""
1,"""190959","""""3563""""","""""2015-04-22 00:00:00""""","""""Limited Time Offer | Sieurs French Bubbles 6 Time Gold Medal Winner | Priced To Clear.""""","""""2840""""","""""725"""""
2,"""190960","""""3563""""","""""2015-04-22 00:00:00""""","""""Clearance Alert: From $6.99 Museum International Gold Medal Winning Red Wine Sale"","" Starts Now. Huge Savings Be Quick!""""","""""105181""""","""""15304"""""
3,"""190958","""""3563""""","""""2015-04-21 00:00:00""""","""""International Gold Medal Winning McLaren Vale Shiraz Outpoints Wines Rated 96 Points & Valued Over $180 A Bottle.""""","""""1070""""","""""347"""""
4,"""190957","""""3563""""","""""2015-04-22 00:00:00""""","""""Limited Time Offer | Sieurs French Bubbles 6 Time Gold Medal Winner | Priced To Clear.""""","""""105211""""","""""13473"""""
5,"""190955","""""3563""""","""""2015-04-20 00:00:00""""","""""New Zealand Pinot Noir Buy Of The Decade! Save 71% A Dozen On 90pt Rated Te Muna Valley Martinborough Pinot Noir!""""","""""1085""""","""""367"""""
6,"""190956","""""3563""""","""""2015-04-21 00:00:00""""","""""International Gold Medal Winning McLaren Vale Shiraz Outpoints Wines Rated 96 Points & Valued Over $180 A Bottle.""""","""""2841""""","""""718"""""
7,"""190954","""""3563""""","""""2015-04-20 00:00:00""""","""""New Zealand Pinot Noir Buy Of The Decade! Save 71% A Dozen On 90pt Rated Te Muna Valley Martinborough Pinot Noir!""""","""""8442""""","""""582"""""
10,"""190950","""""3563""""","""""2015-04-18 00:00:00""""","""""Margaret River Just $80 A Dozen Saving You Up To $352 A Dozen On Wines Rated Up To 91 Points Halliday.""""","""""1093""""","""""363"""""
14,"""190946","""""3563""""","""""2015-04-19 00:00:00""""","""""Trophy Winning Sav Blanc Bonus Case Deal Equates To $6.99 A Bottle.""""","""""8452""""","""""583"""""
18,"""190942","""""3563""""","""""2015-04-19 00:00:00""""","""""McLaren Vale Clearance Double Gold Medal Winning Old Vine McLaren Vale Cab Sav Under $10.""""","""""8456""""","""""598"""""
22,"""190939","""""3563""""","""""2015-04-17 00:00:00""""","""""Highly Rated Old Vine Barossa Valley Shiraz At The Unheard Of Price Of $7.99 A Bottle""""","""""1097""""","""""400"""""
26,"""190935","""""3563""""","""""2015-04-16 00:00:00""""","""""Free Freight On Double Gold Medal Winning Barossa Shiraz Outpoints 96 Point Rated & $182 A Bottle Grant Burge Meshach.""""","""""3793""""","""""1431"""""
29,"""190931","""""3563""""","""""2015-04-15 00:00:00""""","""""Return Of Rock Ferry! 65% Off Marlborough Sauv Blanc | 93 Pt Otago Pinot Noir | 91 Pt Marlborough Chardonnay.""""","""""2854""""","""""708"""""
31,"""190930","""""3563""""","""""2015-04-14 00:00:00""""","""""94 Point Halliday Rated Margaret River Shiraz Outpoints Australiaâ€™s Finest Wines Valued Up To $175 A Bottle.""""","""""2852""""","""""726"""""
33,"""190928","""""3563""""","""""2015-04-13 00:00:00""""","""""VIP Deal: Multi Gold Medal"", 93 Pt, Colonial Barossa Shiraz $9.99,"" 24 Hours.""""","""""8513""""","""""641"""""
37,"""190924","""""3563""""","""""2015-04-13 00:00:00""""","""""Back In Stock! 3 Rings 92 Pt Wine Spectator Barossa Shiraz Just $11.99 & 3 Rings Cabernet Just $11.99 Smallest Allocation Ever.""""","""""2854""""","""""707"""""
38,"""190923","""""3563""""","""""2015-04-12 00:00:00""""","""""Sunday Arvo Sale: Chandon Lowest Price In Market & Double Gold Medal McLaren Vale.""""","""""936""""","""""319"""""
41,"""190920","""""3563""""","""""2015-04-12 00:00:00""""","""""Sunday Specials: 92 Pt 2012 McLaren Vale Shiraz Discounted & Marlborough Sauvy $7.99.""""","""""936""""","""""324"""""
42,"""190919","""""3563""""","""""2015-04-12 00:00:00""""","""""Sunday Arvo Sale: Chandon Lowest Price In Market & Double Gold Medal McLaren Vale.""""","""""105815""""","""""14925"""""
43,"""190918","""""3563""""","""""2015-04-12 00:00:00""""","""""Sunday Specials: 92 Pt 2012 McLaren Vale Shiraz Discounted & Marlborough Sauvy $7.99.""""","""""2858""""","""""777"""""
45,"""190916","""""3563""""","""""2015-04-11 00:00:00""""","""""Gotham Premium Wine Sale Starts Now | Today Only Huge Savings!""""","""""468""""","""""186"""""
48,"""190912","""""3563""""","""""2015-04-10 00:00:00""""","""""66% Off RRP Museum 2007 Barossa Shiraz | Back Of The Truck Is Back | Plus Clarence Hill Sale & Adelaide Hills Pinot Just $4.99!""""","""""2863""""","""""759"""""
51,"""190910","""""3563""""","""""2015-04-09 00:00:00""""","""""French Wine 24 Hour Clearance | Gold Medal Winning Bordeaux Under $10 | French Bubbles $7.99 Per Bottle!""""","""""2863""""","""""740"""""
52,"""190909","""""3563""""","""""2015-04-09 00:00:00""""","""""The Best Price Ever Offered On Flying High Margaret River Wines Rated Up To 92 Points!""""","""""960""""","""""372"""""
54,"""190906","""""3563""""","""""2015-04-07 00:00:00""""","""""Free Delivery & 50% Off GWD Favourite Shiraz + Free Delivery On Other Bargains From $4.99 Per Bottle"","" TODAY ONLY!""""","""""106089""""","""""14759"""""
56,"""190905","""""3563""""","""""2015-04-06 00:00:00""""","""""Up To 75% Off | $50 A Case""""","""""8594""""","""""648"""""
60,"""190901","""""3563""""","""""2015-04-03 00:00:00""""","""""ðŸ£ 25% Off Everything | Good Friday? No"","" Great Friday.""""","""""8628""""","""""654"""""
62,"""190899","""""3563""""","""""2015-04-05 00:00:00""""","""""The Gift That Keeps Giving 25% Off Last Chance. Happy Easter Sale Ends Today.""""","""""986""""","""""336"""""
63,"""190898","""""3563""""","""""2015-04-03 00:00:00""""","""""ðŸ£ 25% Off Everything | Good Friday? No"","" Great Friday.""""","""""1014""""","""""434"""""
64,"""190897","""""3563""""","""""2015-04-04 00:00:00""""","""""25% Off Continuesâ€¦ Not Only Fridays Are Good.""""","""""995""""","""""360"""""
65,"""190896","""""3563""""","""""2015-04-02 00:00:00""""","""""24 Hour Clearance 67% Off Gold Medal Winning McLaren Vale Shiraz & $7.50 A Bottle Gold Medal Cabernet.""""","""""8638""""","""""556"""""
68,"""190893","""""3563""""","""""2015-04-05 00:00:00""""","""""The Gift That Keeps Giving 25% Off Last Chance. Happy Easter Sale Ends Today.""""","""""8607""""","""""630"""""
70,"""190890","""""3563""""","""""2015-04-04 00:00:00""""","""""25% Off Continuesâ€¦ Not Only Fridays Are Good.""""","""""471""""","""""169"""""
71,"""190891","""""3563""""","""""2015-04-05 00:00:00""""","""""The Gift That Keeps Giving 25% Off Last Chance. Happy Easter Sale Ends Today.""""","""""106170""""","""""14029"""""
72,"""190889","""""3563""""","""""2015-04-04 00:00:00""""","""""25% Off Continuesâ€¦ Not Only Fridays Are Good.""""","""""2878""""","""""769"""""
74,"""190886","""""3563""""","""""2015-04-02 00:00:00""""","""""Gold Medal Winning Barossa Shiraz Under $10.""""","""""2882""""","""""748"""""
75,"""190887","""""3563""""","""""2015-04-04 00:00:00""""","""""25% Off Continuesâ€¦ Not Only Fridays Are Good.""""","""""106217""""","""""14113"""""
